"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITC","Nord-ovest","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","VOC_OTH","altri istituti professionali","2019","2019",9522,,
"ITD3","Veneto","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","ART","istituto d arte","2019","2019",74,,
"ITF","Sud","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",51484,,
"ITC3","Liguria","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",52,,
"ITE2","Umbria","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ART","istituto d arte","2019","2019",31,,
"ITC4","Lombardia","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","SUR","istituto tecnico per geometri","2019","2019",234,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","COMM","istituto tecnico commerciale","2019","2019",451,,
"ITE2","Umbria","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",1474,,
"ITC","Nord-ovest","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","VOC_OTH","altri istituti professionali","2019","2019",66,,
"ITD","Nord-est","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","INDU","istituto tecnico industriale","2019","2019",65,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",250,,
"ITC3","Liguria","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ALL","totale","2019","2019",30566,,
"IT","Italia","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",681,,
"ITF1","Abruzzo","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",2923,,
"ITE4","Lazio","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","VOC_OTH","altri istituti professionali","2019","2019",2043,,
"ITD5","Emilia-Romagna","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ARTI","liceo artistico","2019","2019",54,,
"ITC4","Lombardia","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","CLA","liceo classico","2019","2019",6150,,
"ITF2","Molise","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",1928,,
"ITDA","Trentino Alto Adige / Südtirol","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",5,,
"ITF2","Molise","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",6,,
"ITD","Nord-est","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SUR","istituto tecnico per geometri","2019","2019",31,,
